input_id	dealiased_id	standard_id	short_id
doi:10.1038/nmeth.2089	doi:10.1038/nmeth.2089	doi:10.1038/nmeth.2089	uEiJmulI
doi:10.1371/journal.pbio.2005970	doi:10.1371/journal.pbio.2005970	doi:10.1371/journal.pbio.2005970	mY0STSMe
doi:10.1038/s41592-019-0612-7	doi:10.1038/s41592-019-0612-7	doi:10.1038/s41592-019-0612-7	16UMgkAyA
doi:10.1101/2020.10.21.348771	doi:10.1101/2020.10.21.348771	doi:10.1101/2020.10.21.348771	SpBuR17r
doi:10.1038/s41598-019-50137-9	doi:10.1038/s41598-019-50137-9	doi:10.1038/s41598-019-50137-9	BeobZ3J6
doi:10.1038/s41592-018-0261-2	doi:10.1038/s41592-018-0261-2	doi:10.1038/s41592-018-0261-2	bZ0PnvBG
https://en.wikipedia.org/w/index.php?title=Iterator&oldid=1022023119	https://en.wikipedia.org/w/index.php?title=Iterator&oldid=1022023119	url:https://en.wikipedia.org/w/index.php?title=Iterator&oldid=1022023119	FNBYN58a
https://www.jupyter.org	https://www.jupyter.org	url:https://www.jupyter.org	bKYAY1Ed
PMID:10435500	PMID:10435500	pubmed:10435500	LQ13S3KX
PMID:10448425	PMID:10448425	pubmed:10448425	1627kT4bz
PMID:10466894	PMID:10466894	pubmed:10466894	OUOFjccf
PMID:10690993	PMID:10690993	pubmed:10690993	8P094Usc
PMID:11972798	PMID:11972798	pubmed:11972798	acKKshWM
PMID:1353337	PMID:1353337	pubmed:1353337	3ggOqN1g
PMID:1449247	PMID:1449247	pubmed:1449247	MGgywvny
PMID:1725760	PMID:1725760	pubmed:1725760	18VZLN85A
PMID:1726030	PMID:1726030	pubmed:1726030	14TyQ4iFt
PMID:1748881	PMID:1748881	pubmed:1748881	utku948V
PMID:17491094	PMID:17491094	pubmed:17491094	14Iusb8Pm
PMID:18297291	PMID:18297291	pubmed:18297291	mBfT54Vt
PMID:1849779	PMID:1849779	pubmed:1849779	LKiVlrDX
PMID:1933245	PMID:1933245	pubmed:1933245	1Eqk1BiBG
PMID:2010756	PMID:2010756	pubmed:2010756	EwwdfXjZ
PMID:20817536	PMID:20817536	pubmed:20817536	PYkt6i3L
PMID:20856865	PMID:20856865	pubmed:20856865	14STD2RxY
PMID:22941241	PMID:22941241	pubmed:22941241	19FzO4BXg
PMID:23884810	PMID:23884810	pubmed:23884810	1AyN8cb7x
PMID:2570794	PMID:2570794	pubmed:2570794	v3WVZpya
PMID:2730377	PMID:2730377	pubmed:2730377	1DK0UCY3b
PMID:2747841	PMID:2747841	pubmed:2747841	scoQcG6I
PMID:2817827	PMID:2817827	pubmed:2817827	BYsShBOy
PMID:2950715	PMID:2950715	pubmed:2950715	xxIxcSn4
PMID:2996284	PMID:2996284	pubmed:2996284	RTdc2RAN
PMID:33479244	PMID:33479244	pubmed:33479244	DXWSe1oy
PMID:3604586	PMID:3604586	pubmed:3604586	kboGSyID
PMID:3753274	PMID:3753274	pubmed:3753274	TxZAXsoY
PMID:3883886	PMID:3883886	pubmed:3883886	27nUnvr7
PMID:4022359	PMID:4022359	pubmed:4022359	KwGZYBfz
PMID:4073850	PMID:4073850	pubmed:4073850	x1aJA7G7
PMID:6089493	PMID:6089493	pubmed:6089493	2CGg2fRn
PMID:6198483	PMID:6198483	pubmed:6198483	GmFg9zkW
PMID:6247458	PMID:6247458	pubmed:6247458	yIB5JqeT
PMID:6732189	PMID:6732189	pubmed:6732189	1ENzNz2dH
PMID:6830170	PMID:6830170	pubmed:6830170	JFhrgoaT
PMID:6865505	PMID:6865505	pubmed:6865505	13th0Dj77
PMID:7651444	PMID:7651444	pubmed:7651444	rXNt2CSc
PMID:7770115	PMID:7770115	pubmed:7770115	QsP29rd9
PMID:7804831	PMID:7804831	pubmed:7804831	hCGQGD3S
PMID:7894999	PMID:7894999	pubmed:7894999	EvV3d5QJ
PMID:7904735	PMID:7904735	pubmed:7904735	j6QOvCWZ
PMID:7916375	PMID:7916375	pubmed:7916375	DT4KLASe
PMID:8093581	PMID:8093581	pubmed:8093581	tToeBUyd
PMID:8358501	PMID:8358501	pubmed:8358501	119VnLNhq
PMID:8489206	PMID:8489206	pubmed:8489206	S8xXKwD6
